2.40 :: ['1', '5', '2', '4', '3', '1']
2.40 :: ['1', '3', '4', '2', '5', '1']
3.07 :: ['1', '2', '5', '4', '3', '1']
3.36 :: ['1', '5', '3', '4', '2', '1']
3.36 :: ['1', '2', '4', '3', '5', '1']
3.75 :: ['1', '2', '4', '5', '3', '1']
3.75 :: ['1', '3', '5', '4', '2', '1']
3.76 :: ['1', '3', '2', '4', '5', '1']
3.76 :: ['1', '5', '4', '2', '3', '1']
4.04 :: ['1', '2', '3', '4', '5', '1']
4.09 :: ['1', '3', '5', '2', '4', '1']
4.09 :: ['1', '4', '2', '5', '3', '1']
4.37 :: ['1', '2', '5', '3', '4', '1']
4.38 :: ['1', '5', '2', '3', '4', '1']
4.77 :: ['1', '3', '2', '5', '4', '1']
4.77 :: ['1', '4', '5', '2', '3', '1']
5.06 :: ['1', '5', '3', '2', '4', '1']
5.06 :: ['1', '4', '2', '3', '5', '1']
5.73 :: ['1', '2', '3', '5', '4', '1']
5.73 :: ['1', '4', '5', '3', '2', '1']
