10 90
Warszawa Krakow 296
Warszawa Lodz 133
Warszawa Wroclaw 389
Warszawa Poznan 311
Warszawa Gdansk 360
Warszawa Szczecin 558
Warszawa Bydgoszcz 260
Warszawa Lublin 168
Warszawa Katowice 291
Krakow Warszawa 296
Krakow Lodz 262
Krakow Wroclaw 272 
Krakow Poznan 445
Krakow Gdansk 564
Krakow Szczecin 645
Krakow Bydgoszcz 450
Krakow Lublin 280
Krakow Katowice 82
Lodz Warszawa 133
Lodz Krakow 262
Lodz Wroclaw 219
Lodz Poznan 201
Lodz Gdansk 337
Lodz Szczecin 449
Lodz Bydgoszcz 223
Lodz Lublin 287
Lodz Katowice 193
Wroclaw Warszawa 389
Wroclaw Krakow 272
Wroclaw Lodz 219
Wroclaw Poznan 164
Wroclaw Gdansk 459
Wroclaw Szczecin 377
Wroclaw Bydgoszcz 277
Wroclaw Lublin 429
Wroclaw Katowice 194
Poznan Warszawa 311
Poznan Krakow 445
Poznan Lodz 201
Poznan Wroclaw 164
Poznan Gdansk 316
Poznan Szczecin 243
Poznan Bydgoszcz 140
Poznan Lublin 467
Poznan Katowice 367
Gdansk Warszawa 360
Gdansk Krakow 564
Gdansk Lodz 337
Gdansk Wroclaw 459
Gdansk Poznan 316
Gdansk Szczecin 366
Gdansk Bydgoszcz 170
Gdansk Lublin 508
Gdansk Katowice 531
Szczecin Warszawa 558
Szczecin Krakow 645
Szczecin Lodz 449
Szczecin Wroclaw 377
Szczecin Poznan 243
Szczecin Gdansk 366
Szczecin Bydgoszcz 258
Szczecin Lublin 711
Szczecin Katowice 568
Bydgoszcz Warszawa 260
Bydgoszcz Krakow 450
Bydgoszcz Lodz 223
Bydgoszcz Wroclaw 277
Bydgoszcz Poznan 140
Bydgoszcz Gdansk 170
Bydgoszcz Szczecin 258
Bydgoszcz Lublin 427
Bydgoszcz Katowice 416
Lublin Warszawa 168
Lublin Krakow 280
Lublin Lodz 287
Lublin Wroclaw 429
Lublin Poznan 467
Lublin Gdansk 508
Lublin Szczecin 711
Lublin Bydgoszcz 427
Lublin Katowice 343
Katowice Warszawa 291
Katowice Krakow 82
Katowice Lodz 193
Katowice Wroclaw 194
Katowice Poznan 367
Katowice Gdansk 531
Katowice Szczecin 568
Katowice Bydgoszcz 416
Katowice Lublin 343
