2023 :: ['Warszawa', 'Lodz', 'Bydgoszcz', 'Gdansk', 'Szczecin', 'Poznan', 'Wroclaw', 'Katowice', 'Krakow', 'Lublin', 'Warszawa']
2029 :: ['Warszawa', 'Lodz', 'Gdansk', 'Bydgoszcz', 'Szczecin', 'Poznan', 'Wroclaw', 'Katowice', 'Krakow', 'Lublin', 'Warszawa']
2111 :: ['Warszawa', 'Lodz', 'Poznan', 'Bydgoszcz', 'Gdansk', 'Szczecin', 'Wroclaw', 'Katowice', 'Krakow', 'Lublin', 'Warszawa']
2114 :: ['Warszawa', 'Lodz', 'Poznan', 'Szczecin', 'Gdansk', 'Bydgoszcz', 'Wroclaw', 'Katowice', 'Krakow', 'Lublin', 'Warszawa']
2122 :: ['Warszawa', 'Lodz', 'Gdansk', 'Szczecin', 'Bydgoszcz', 'Poznan', 'Wroclaw', 'Katowice', 'Krakow', 'Lublin', 'Warszawa']
2124 :: ['Warszawa', 'Lodz', 'Gdansk', 'Bydgoszcz', 'Poznan', 'Szczecin', 'Wroclaw', 'Katowice', 'Krakow', 'Lublin', 'Warszawa']
2137 :: ['Warszawa', 'Gdansk', 'Bydgoszcz', 'Szczecin', 'Poznan', 'Wroclaw', 'Lodz', 'Katowice', 'Krakow', 'Lublin', 'Warszawa']
2145 :: ['Warszawa', 'Lublin', 'Krakow', 'Katowice', 'Lodz', 'Wroclaw', 'Poznan', 'Szczecin', 'Gdansk', 'Bydgoszcz', 'Warszawa']
2146 :: ['Warszawa', 'Lodz', 'Szczecin', 'Gdansk', 'Bydgoszcz', 'Poznan', 'Wroclaw', 'Katowice', 'Krakow', 'Lublin', 'Warszawa']
2164 :: ['Warszawa', 'Lodz', 'Bydgoszcz', 'Gdansk', 'Szczecin', 'Poznan', 'Wroclaw', 'Krakow', 'Katowice', 'Lublin', 'Warszawa']
2170 :: ['Warszawa', 'Lodz', 'Gdansk', 'Bydgoszcz', 'Szczecin', 'Poznan', 'Wroclaw', 'Krakow', 'Katowice', 'Lublin', 'Warszawa']
2171 :: ['Warszawa', 'Lodz', 'Lublin', 'Krakow', 'Katowice', 'Wroclaw', 'Poznan', 'Szczecin', 'Bydgoszcz', 'Gdansk', 'Warszawa']
2175 :: ['Warszawa', 'Gdansk', 'Bydgoszcz', 'Szczecin', 'Poznan', 'Lodz', 'Wroclaw', 'Katowice', 'Krakow', 'Lublin', 'Warszawa']
2179 :: ['Warszawa', 'Lodz', 'Lublin', 'Krakow', 'Katowice', 'Wroclaw', 'Poznan', 'Szczecin', 'Gdansk', 'Bydgoszcz', 'Warszawa']
2182 :: ['Warszawa', 'Lodz', 'Krakow', 'Katowice', 'Wroclaw', 'Poznan', 'Szczecin', 'Bydgoszcz', 'Gdansk', 'Lublin', 'Warszawa']
2183 :: ['Warszawa', 'Lublin', 'Krakow', 'Katowice', 'Wroclaw', 'Lodz', 'Poznan', 'Szczecin', 'Gdansk', 'Bydgoszcz', 'Warszawa']
2184 :: ['Warszawa', 'Lodz', 'Bydgoszcz', 'Szczecin', 'Gdansk', 'Poznan', 'Wroclaw', 'Katowice', 'Krakow', 'Lublin', 'Warszawa']
2186 :: ['Warszawa', 'Lodz', 'Bydgoszcz', 'Gdansk', 'Poznan', 'Szczecin', 'Wroclaw', 'Katowice', 'Krakow', 'Lublin', 'Warszawa']
2188 :: ['Warszawa', 'Gdansk', 'Bydgoszcz', 'Szczecin', 'Poznan', 'Wroclaw', 'Katowice', 'Krakow', 'Lodz', 'Lublin', 'Warszawa']
2191 :: ['Warszawa', 'Lodz', 'Katowice', 'Krakow', 'Wroclaw', 'Poznan', 'Szczecin', 'Bydgoszcz', 'Gdansk', 'Lublin', 'Warszawa']
2193 :: ['Warszawa', 'Krakow', 'Katowice', 'Wroclaw', 'Poznan', 'Szczecin', 'Gdansk', 'Bydgoszcz', 'Lodz', 'Lublin', 'Warszawa']
2196 :: ['Warszawa', 'Lublin', 'Lodz', 'Krakow', 'Katowice', 'Wroclaw', 'Poznan', 'Szczecin', 'Gdansk', 'Bydgoszcz', 'Warszawa']
2197 :: ['Warszawa', 'Gdansk', 'Bydgoszcz', 'Szczecin', 'Poznan', 'Wroclaw', 'Krakow', 'Katowice', 'Lodz', 'Lublin', 'Warszawa']
2199 :: ['Warszawa', 'Krakow', 'Katowice', 'Wroclaw', 'Poznan', 'Szczecin', 'Bydgoszcz', 'Gdansk', 'Lodz', 'Lublin', 'Warszawa']
2205 :: ['Warszawa', 'Lublin', 'Lodz', 'Katowice', 'Krakow', 'Wroclaw', 'Poznan', 'Szczecin', 'Gdansk', 'Bydgoszcz', 'Warszawa']
2209 :: ['Warszawa', 'Lodz', 'Krakow', 'Katowice', 'Wroclaw', 'Poznan', 'Szczecin', 'Gdansk', 'Bydgoszcz', 'Lublin', 'Warszawa']
2214 :: ['Warszawa', 'Lodz', 'Szczecin', 'Bydgoszcz', 'Gdansk', 'Poznan', 'Wroclaw', 'Katowice', 'Krakow', 'Lublin', 'Warszawa']
2218 :: ['Warszawa', 'Lodz', 'Katowice', 'Krakow', 'Wroclaw', 'Poznan', 'Szczecin', 'Gdansk', 'Bydgoszcz', 'Lublin', 'Warszawa']
2220 :: ['Warszawa', 'Lodz', 'Gdansk', 'Szczecin', 'Poznan', 'Bydgoszcz', 'Wroclaw', 'Katowice', 'Krakow', 'Lublin', 'Warszawa']
2230 :: ['Warszawa', 'Gdansk', 'Szczecin', 'Bydgoszcz', 'Poznan', 'Wroclaw', 'Lodz', 'Katowice', 'Krakow', 'Lublin', 'Warszawa']
2232 :: ['Warszawa', 'Gdansk', 'Bydgoszcz', 'Poznan', 'Szczecin', 'Wroclaw', 'Lodz', 'Katowice', 'Krakow', 'Lublin', 'Warszawa']
2241 :: ['Warszawa', 'Lodz', 'Wroclaw', 'Poznan', 'Szczecin', 'Gdansk', 'Bydgoszcz', 'Katowice', 'Krakow', 'Lublin', 'Warszawa']
2248 :: ['Warszawa', 'Lodz', 'Wroclaw', 'Poznan', 'Szczecin', 'Bydgoszcz', 'Gdansk', 'Katowice', 'Krakow', 'Lublin', 'Warszawa']
2252 :: ['Warszawa', 'Lodz', 'Poznan', 'Bydgoszcz', 'Gdansk', 'Szczecin', 'Wroclaw', 'Krakow', 'Katowice', 'Lublin', 'Warszawa']
2253 :: ['Warszawa', 'Gdansk', 'Bydgoszcz', 'Szczecin', 'Wroclaw', 'Poznan', 'Lodz', 'Katowice', 'Krakow', 'Lublin', 'Warszawa']
2255 :: ['Warszawa', 'Lodz', 'Poznan', 'Szczecin', 'Gdansk', 'Bydgoszcz', 'Wroclaw', 'Krakow', 'Katowice', 'Lublin', 'Warszawa']
2256 :: ['Warszawa', 'Lublin', 'Krakow', 'Katowice', 'Wroclaw', 'Lodz', 'Bydgoszcz', 'Gdansk', 'Szczecin', 'Poznan', 'Warszawa']
2261 :: ['Warszawa', 'Lublin', 'Krakow', 'Katowice', 'Lodz', 'Poznan', 'Wroclaw', 'Szczecin', 'Gdansk', 'Bydgoszcz', 'Warszawa']
2262 :: ['Warszawa', 'Lublin', 'Krakow', 'Katowice', 'Wroclaw', 'Lodz', 'Gdansk', 'Bydgoszcz', 'Szczecin', 'Poznan', 'Warszawa']
2263 :: ['Warszawa', 'Lodz', 'Gdansk', 'Szczecin', 'Bydgoszcz', 'Poznan', 'Wroclaw', 'Krakow', 'Katowice', 'Lublin', 'Warszawa']
2264 :: ['Warszawa', 'Lodz', 'Lublin', 'Krakow', 'Katowice', 'Wroclaw', 'Poznan', 'Bydgoszcz', 'Szczecin', 'Gdansk', 'Warszawa']
2265 :: ['Warszawa', 'Lodz', 'Gdansk', 'Bydgoszcz', 'Poznan', 'Szczecin', 'Wroclaw', 'Krakow', 'Katowice', 'Lublin', 'Warszawa']
2266 :: ['Warszawa', 'Katowice', 'Krakow', 'Wroclaw', 'Poznan', 'Szczecin', 'Gdansk', 'Bydgoszcz', 'Lodz', 'Lublin', 'Warszawa']
2268 :: ['Warszawa', 'Gdansk', 'Szczecin', 'Bydgoszcz', 'Poznan', 'Lodz', 'Wroclaw', 'Katowice', 'Krakow', 'Lublin', 'Warszawa']
2269 :: ['Warszawa', 'Gdansk', 'Bydgoszcz', 'Szczecin', 'Poznan', 'Wroclaw', 'Lodz', 'Krakow', 'Katowice', 'Lublin', 'Warszawa']
2272 :: ['Warszawa', 'Katowice', 'Krakow', 'Wroclaw', 'Poznan', 'Szczecin', 'Bydgoszcz', 'Gdansk', 'Lodz', 'Lublin', 'Warszawa']
2275 :: ['Warszawa', 'Gdansk', 'Szczecin', 'Poznan', 'Bydgoszcz', 'Lodz', 'Wroclaw', 'Katowice', 'Krakow', 'Lublin', 'Warszawa']
2277 :: ['Warszawa', 'Lublin', 'Katowice', 'Krakow', 'Lodz', 'Wroclaw', 'Poznan', 'Szczecin', 'Gdansk', 'Bydgoszcz', 'Warszawa']
2278 :: ['Warszawa', 'Wroclaw', 'Poznan', 'Szczecin', 'Gdansk', 'Bydgoszcz', 'Lodz', 'Katowice', 'Krakow', 'Lublin', 'Warszawa']
2279 :: ['Warszawa', 'Lodz', 'Bydgoszcz', 'Poznan', 'Gdansk', 'Szczecin', 'Wroclaw', 'Katowice', 'Krakow', 'Lublin', 'Warszawa']
